type,n,m,seed,generator_timestamp,test_timestamp
martinez,2,1,503,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,542,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,555,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,582,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,596,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,606,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,622,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,623,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,630,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,640,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,645,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,662,2023-10-26 00:02:46,2023-10-27 21:47:09
martinez,2,1,697,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,737,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,739,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,762,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,776,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,778,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,786,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,787,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,804,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,832,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,854,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,866,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,875,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,892,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,897,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,915,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,925,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,967,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,968,2023-10-26 00:02:46,2023-10-27 21:47:10
martinez,2,1,1015,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1084,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1086,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1097,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1098,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1101,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1109,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1135,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1162,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1191,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1196,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1269,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1284,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1286,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1316,2023-10-26 00:02:46,2023-10-27 21:47:11
martinez,2,1,1355,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1367,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1424,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1468,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1473,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1476,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1488,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1507,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1605,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1620,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1654,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1657,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1658,2023-10-26 00:02:46,2023-10-27 21:47:12
martinez,2,1,1666,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1686,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1701,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1708,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1753,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1826,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1841,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1854,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1907,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1909,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1921,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1953,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,1967,2023-10-26 00:02:46,2023-10-27 21:47:13
martinez,2,1,2002,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2018,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2042,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2044,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2049,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2062,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2082,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2112,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2180,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2191,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2209,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2214,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2221,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2293,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2300,2023-10-26 00:02:46,2023-10-27 21:47:14
martinez,2,1,2340,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2350,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2368,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2370,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2374,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2378,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2444,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2448,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2453,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2459,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2467,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2487,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2511,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2522,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2554,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2575,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2587,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2601,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2620,2023-10-26 00:02:46,2023-10-27 21:47:15
martinez,2,1,2639,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2640,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2655,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2660,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2673,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2680,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2701,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2732,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2733,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2761,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2769,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2786,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2822,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2832,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2837,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2852,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2881,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2902,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2903,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2913,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2915,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2928,2023-10-26 00:02:46,2023-10-27 21:47:16
martinez,2,1,2960,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,2972,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3025,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3040,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3059,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3060,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3071,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3090,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3105,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3131,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3143,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3197,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3218,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3238,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3261,2023-10-26 00:02:46,2023-10-27 21:47:17
martinez,2,1,3289,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3311,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3332,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3343,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3346,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3357,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3367,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3383,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3391,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3396,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3426,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3451,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3459,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3475,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3516,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3549,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3570,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3571,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3576,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3586,2023-10-26 00:02:46,2023-10-27 21:47:18
martinez,2,1,3609,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3645,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3688,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3706,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3742,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3745,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3791,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3796,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3799,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3803,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3824,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3833,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3842,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3852,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3861,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3863,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3870,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3876,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3888,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3904,2023-10-26 00:02:46,2023-10-27 21:47:19
martinez,2,1,3935,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,3948,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,3988,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,3989,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4040,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4044,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4048,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4089,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4141,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4164,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4169,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4179,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4182,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4188,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4205,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4219,2023-10-26 00:02:46,2023-10-27 21:47:20
martinez,2,1,4230,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4240,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4246,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4252,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4253,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4258,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4265,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4267,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4273,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4292,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4339,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4360,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4365,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4376,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4430,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4442,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4488,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4493,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4500,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4504,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4521,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4534,2023-10-26 00:02:46,2023-10-27 21:47:21
martinez,2,1,4549,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4550,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4623,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4640,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4665,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4684,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4687,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4703,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4735,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4746,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4830,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4838,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4840,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4855,2023-10-26 00:02:46,2023-10-27 21:47:22
martinez,2,1,4878,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,4896,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,4919,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,4925,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,4937,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,4956,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,4959,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,4975,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5001,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5003,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5014,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5091,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5104,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5107,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5109,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5124,2023-10-26 00:02:46,2023-10-27 21:47:23
martinez,2,1,5161,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5190,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5201,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5210,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5212,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5240,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5251,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5295,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5335,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5368,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5454,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5467,2023-10-26 00:02:46,2023-10-27 21:47:24
martinez,2,1,5540,2023-10-26 00:02:46,2023-10-27 21:47:25
martinez,2,1,5552,2023-10-26 00:02:46,2023-10-27 21:47:25
martinez,2,1,5553,2023-10-26 00:02:46,2023-10-27 21:47:25
martinez,2,1,5595,2023-10-26 00:02:46,2023-10-27 21:47:25
martinez,2,1,5630,2023-10-26 00:02:46,2023-10-27 21:47:25
martinez,2,1,5727,2023-10-26 00:02:46,2023-10-27 21:47:25
martinez,2,1,5789,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5806,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5819,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5842,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5848,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5860,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5865,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5898,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5926,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5936,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5959,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,5962,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6009,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6018,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6020,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6021,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6031,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6040,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6050,2023-10-26 00:02:46,2023-10-27 21:47:26
martinez,2,1,6080,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6097,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6109,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6116,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6118,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6162,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6168,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6184,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6187,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6204,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6205,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6215,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6234,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6237,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6251,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6315,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6352,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6356,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6359,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6367,2023-10-26 00:02:46,2023-10-27 21:47:27
martinez,2,1,6390,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6415,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6428,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6430,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6492,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6515,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6562,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6571,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6572,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6612,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6622,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6635,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6649,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6671,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6672,2023-10-26 00:02:46,2023-10-27 21:47:28
martinez,2,1,6705,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6731,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6751,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6763,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6815,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6816,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6865,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6875,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6883,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6904,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6906,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6925,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6954,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,6988,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,7004,2023-10-26 00:02:46,2023-10-27 21:47:29
martinez,2,1,7017,2023-10-26 00:02:46,2023-10-27 21:47:30
martinez,2,1,7040,2023-10-26 00:02:46,2023-10-27 21:47:30
martinez,2,1,7056,2023-10-26 00:02:46,2023-10-27 21:47:30
martinez,2,1,7066,2023-10-26 00:02:46,2023-10-27 21:47:30
martinez,2,1,7084,2023-10-26 00:02:46,2023-10-27 21:47:30
martinez,2,1,7106,2023-10-26 00:02:46,2023-10-27 21:47:30
martinez,2,1,7141,2023-10-26 00:02:46,2023-10-27 21:47:30
